capability,subflow,ui_entry,ui_path,runtime_path,data_source,state_owner,persistence,ipc_or_api,test_coverage,status,severity,notes,evidence
launch,cold start,app launch,,,,,,,UNKNOWN,P0,,
empty_state,no songs,,,,,,,,UNKNOWN,P1,,
import_song,single local file,+ 添加歌曲 / 选择本地歌曲,,,,,,,UNKNOWN,P0,,
import_folder,folder / batch import,,,,,,,,UNKNOWN,P1,,
duplicate_import,same file twice,,,,,,,,UNKNOWN,P1,,
metadata,read title/artist/duration,,,,,,,,UNKNOWN,P1,,
format_validation,unsupported / invalid file,,,,,,,,UNKNOWN,P2,,
missing_source,moved / renamed / deleted,,,,,,,,UNKNOWN,P1,,
playlist,create,+ beside 我的歌单,,,,,,,UNKNOWN,P0,,
playlist,rename,,,,,,,,UNKNOWN,P1,,
playlist,delete,,,,,,,,UNKNOWN,P1,,
playlist,add one track,,,,,,,,UNKNOWN,P0,Highest priority root-cause audit,
playlist,add multiple tracks,,,,,,,,UNKNOWN,P1,,
playlist,remove track,,,,,,,,UNKNOWN,P1,,
playlist,reorder tracks,,,,,,,,UNKNOWN,P2,,
playback,play,,,,,,,,UNKNOWN,P0,,
playback,pause,,,,,,,,UNKNOWN,P0,,
playback,seek,,,,,,,,UNKNOWN,P1,,
playback,previous,,,,,,,,UNKNOWN,P1,,
playback,next,,,,,,,,UNKNOWN,P1,,
playback,end of track,,,,,,,,UNKNOWN,P1,,
playback,volume,,,,,,,,UNKNOWN,P2,,
queue,current queue,,,,,,,,UNKNOWN,P1,,
queue,play next,,,,,,,,UNKNOWN,P1,,
queue,reorder,,,,,,,,UNKNOWN,P2,,
persistence,library restart,,,,,,,,UNKNOWN,P0,,
persistence,playlist restart,,,,,,,,UNKNOWN,P0,,
persistence,playback session restart,,,,,,,,UNKNOWN,P2,,
library,all songs,,,,,,,,UNKNOWN,P1,,
library,favorites,,,,,,,,UNKNOWN,P2,,
library,history,,,,,,,,UNKNOWN,P2,,
library,search,,,,,,,,UNKNOWN,P2,,
windows_native,media keys,,,,,,,,UNKNOWN,P2,,
windows_native,system media session,,,,,,,,UNKNOWN,P2,,
windows_native,single instance,,,,,,,,UNKNOWN,P2,,
release,build,,,,,,,,UNKNOWN,P0,,
release,installer,,,,,,,,UNKNOWN,P1,,
release,update strategy,,,,,,,,UNKNOWN,P2,,
