run_id,task_id,sample_id,input_path,preset,status,return_code,elapsed_seconds,output_dir,template_index,pseudo_mrs_before,pseudo_mrs_after,pseudo_delta_mrs,mrs_open_v031_before,mrs_open_v031_after,delta_mrs_open_v031,mrs_open_flags,error
20260602_154710,TASK_SMP_26D0AF3DCDB9758C_warm_vocal,SMP_26D0AF3DCDB9758C,/home/ubuntu/moodify-o3is/data/night_inputs/_Black Therapy (1).mp3,warm_vocal,failed,2,0.09,/home/ubuntu/moodify-o3is/outputs/daily_runs/20260602_154710/SMP_26D0AF3DCDB9758C/warm_vocal,0,,,,1023.1,,,,"usage: cli.py [-h]
              {analyze,process,batch,emotions,crafts,serve,v01-analyze,v01-process,presets,v01-presets,legacy-analyze,legacy-process,evaluate-run,evaluate-single,evaluate-status}
              ...
cli.py: error: unrecognized arguments: Therapy (1).mp3
"
20260602_154710,TASK_SMP_26D0AF3DCDB9758C_clean_master,SMP_26D0AF3DCDB9758C,/home/ubuntu/moodify-o3is/data/night_inputs/_Black Therapy (1).mp3,clean_master,failed,2,0.11,/home/ubuntu/moodify-o3is/outputs/daily_runs/20260602_154710/SMP_26D0AF3DCDB9758C/clean_master,0,,,,1023.1,,,,"usage: cli.py [-h]
              {analyze,process,batch,emotions,crafts,serve,v01-analyze,v01-process,presets,v01-presets,legacy-analyze,legacy-process,evaluate-run,evaluate-single,evaluate-status}
              ...
cli.py: error: unrecognized arguments: Therapy (1).mp3
"
20260602_154710,TASK_SMP_26D0AF3DCDB9758C_wide_space,SMP_26D0AF3DCDB9758C,/home/ubuntu/moodify-o3is/data/night_inputs/_Black Therapy (1).mp3,wide_space,failed,2,0.11,/home/ubuntu/moodify-o3is/outputs/daily_runs/20260602_154710/SMP_26D0AF3DCDB9758C/wide_space,0,,,,1023.1,,,,"usage: cli.py [-h]
              {analyze,process,batch,emotions,crafts,serve,v01-analyze,v01-process,presets,v01-presets,legacy-analyze,legacy-process,evaluate-run,evaluate-single,evaluate-status}
              ...
cli.py: error: unrecognized arguments: Therapy (1).mp3
"
20260602_154710,TASK_SMP_9E7ADE6DCF63F6EA_warm_vocal,SMP_9E7ADE6DCF63F6EA,/home/ubuntu/moodify-o3is/data/night_inputs/_Black Therapy (2).mp3,warm_vocal,failed,2,0.09,/home/ubuntu/moodify-o3is/outputs/daily_runs/20260602_154710/SMP_9E7ADE6DCF63F6EA/warm_vocal,0,,,,1023.1,,,,"usage: cli.py [-h]
              {analyze,process,batch,emotions,crafts,serve,v01-analyze,v01-process,presets,v01-presets,legacy-analyze,legacy-process,evaluate-run,evaluate-single,evaluate-status}
              ...
cli.py: error: unrecognized arguments: Therapy (2).mp3
"
20260602_154710,TASK_SMP_9E7ADE6DCF63F6EA_clean_master,SMP_9E7ADE6DCF63F6EA,/home/ubuntu/moodify-o3is/data/night_inputs/_Black Therapy (2).mp3,clean_master,failed,2,0.11,/home/ubuntu/moodify-o3is/outputs/daily_runs/20260602_154710/SMP_9E7ADE6DCF63F6EA/clean_master,0,,,,1023.1,,,,"usage: cli.py [-h]
              {analyze,process,batch,emotions,crafts,serve,v01-analyze,v01-process,presets,v01-presets,legacy-analyze,legacy-process,evaluate-run,evaluate-single,evaluate-status}
              ...
cli.py: error: unrecognized arguments: Therapy (2).mp3
"
20260602_154710,TASK_SMP_9E7ADE6DCF63F6EA_wide_space,SMP_9E7ADE6DCF63F6EA,/home/ubuntu/moodify-o3is/data/night_inputs/_Black Therapy (2).mp3,wide_space,failed,2,0.11,/home/ubuntu/moodify-o3is/outputs/daily_runs/20260602_154710/SMP_9E7ADE6DCF63F6EA/wide_space,0,,,,1023.1,,,,"usage: cli.py [-h]
              {analyze,process,batch,emotions,crafts,serve,v01-analyze,v01-process,presets,v01-presets,legacy-analyze,legacy-process,evaluate-run,evaluate-single,evaluate-status}
              ...
cli.py: error: unrecognized arguments: Therapy (2).mp3
"
20260602_154710,TASK_SMP_6088C99D0990D980_warm_vocal,SMP_6088C99D0990D980,/home/ubuntu/moodify-o3is/data/night_inputs/_Black Therapy.mp3,warm_vocal,failed,2,0.11,/home/ubuntu/moodify-o3is/outputs/daily_runs/20260602_154710/SMP_6088C99D0990D980/warm_vocal,0,,,,1023.1,,,,"usage: cli.py [-h]
              {analyze,process,batch,emotions,crafts,serve,v01-analyze,v01-process,presets,v01-presets,legacy-analyze,legacy-process,evaluate-run,evaluate-single,evaluate-status}
              ...
cli.py: error: unrecognized arguments: Therapy.mp3
"
20260602_154710,TASK_SMP_6088C99D0990D980_clean_master,SMP_6088C99D0990D980,/home/ubuntu/moodify-o3is/data/night_inputs/_Black Therapy.mp3,clean_master,failed,2,0.11,/home/ubuntu/moodify-o3is/outputs/daily_runs/20260602_154710/SMP_6088C99D0990D980/clean_master,0,,,,1023.1,,,,"usage: cli.py [-h]
              {analyze,process,batch,emotions,crafts,serve,v01-analyze,v01-process,presets,v01-presets,legacy-analyze,legacy-process,evaluate-run,evaluate-single,evaluate-status}
              ...
cli.py: error: unrecognized arguments: Therapy.mp3
"
20260602_154710,TASK_SMP_6088C99D0990D980_wide_space,SMP_6088C99D0990D980,/home/ubuntu/moodify-o3is/data/night_inputs/_Black Therapy.mp3,wide_space,failed,2,0.10,/home/ubuntu/moodify-o3is/outputs/daily_runs/20260602_154710/SMP_6088C99D0990D980/wide_space,0,,,,1023.1,,,,"usage: cli.py [-h]
              {analyze,process,batch,emotions,crafts,serve,v01-analyze,v01-process,presets,v01-presets,legacy-analyze,legacy-process,evaluate-run,evaluate-single,evaluate-status}
              ...
cli.py: error: unrecognized arguments: Therapy.mp3
"
20260602_154710,TASK_SMP_811A5C0573682420_warm_vocal,SMP_811A5C0573682420,/home/ubuntu/moodify-o3is/data/night_inputs/_Neural Poison   - 副本.mp3,warm_vocal,failed,2,0.12,/home/ubuntu/moodify-o3is/outputs/daily_runs/20260602_154710/SMP_811A5C0573682420/warm_vocal,0,,,,1038.1,,,,"usage: cli.py [-h]
              {analyze,process,batch,emotions,crafts,serve,v01-analyze,v01-process,presets,v01-presets,legacy-analyze,legacy-process,evaluate-run,evaluate-single,evaluate-status}
              ...
cli.py: error: unrecognized arguments: Poison - 副本.mp3
"
